"","SMILES","half_life_formatted"
"202","CC=C(C)C(=O)OC1CC[NH+]2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12","> 1 year"
"203","CC=CC(=O)C1C(C)C=CCC1(C)C","330 days"
"204","CC=CC(=O)OC(=O)C=CC","0.018 day"
"205","CC=CC(=O)Oc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1C(C)(C)CC(C)(C)C","2.3 days"
"206","CC=CC1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C","> 1 year"
"207","CC=CC=CC(=O)OCCC[Si](OC)(OC)OC","0.2 day"
"208","CC=COC1CCC(OC=CC)CC1","1.1 days"
"209","CCBr","22 days"
"210","CCC(=O)Nc1ccc(Cl)c(Cl)c1","> 1 year"
"211","CCC(=O)OCCc1ccccc1","38 days"
"212","CCC(C)(C)C1CCCCC1OC(C)=O","1.8 days"
"213","CCC(C)(C)OOC(C)(C)CC","> 1 year"
"214","CCC(C)(C)OOC(C)(CC)OOC(C)(C)CC","4.5 days"
"215","CCC(C)(C)OOC1(OC)CCCCC1","32 days"
"216","CCC(C)(C)OOC1(OOC(C)(C)CC)CCCCC1","3.3 days"
"217","CCC(C)(OOC(C)(C)C)OOC(C)(C)C","74 days"
"218","CCC(C)Cl","2.8 days"
"219","CCC(C)OC(=O)OOC(=O)OC(C)CC","0.16 day"
"220","CCC(O)COC1CCCCC1C(C)(C)C","27 days"
"221","CCC1(C)OOC(C)(CC)OOC(C)(CC)OO1","0.33 day"
"222","CCC12CCC3C4=C(CCC3C1CCC2=O)CC(OC)=CC4","0.36 day"
"223","CCC12CCC3C4=C(CCC3C1CCC2O)CC(OC)=CC4","1.2 days"
"224","CCC12COC[NH+]1COC2","0.067 day"
"225","CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C([NH+](C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC","> 1 year"
"226","CCCC(Br)CC","0.48 day"
"227","CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1","> 1 year"
"228","CCCCBr","23 days"
"229","CCCCC(=O)OC","320 days"
"230","CCCCC(=O)OC(=O)CCCC","0.0097 day"
"231","CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C34OC4CC21C","300 days"
"232","CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C","> 1 year"
"233","CCCCC(=O)OCCc1ccccc1","38 days"
"234","CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1","> 1 year"
"235","CCCCC(C#N)c1ccccc1","15 days"
"236","CCCCC(CC)C(=O)OOC(C)(C)C","2.8 days"
"237","CCCCC(CC)C(=O)OOC(C)(C)CC","7.8 days"
"238","CCCCC(CC)COC(=O)CCS","8.6 days"
"239","CCCCC(CC)COC(=O)OOC(C)(C)C","3.7 days"
"240","CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1","110 days"
"241","CCCCC(CC)CO[N+](=O)[O-]","6.5 days"
"242","CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2C#N)cc1","3.7 days"
"243","CCCCCC(=O)OC(=O)CCCCC","0.0049 day"
"244","CCCCCC=CCC1CC(=O)OC1=O","0.0028 day"
"245","CCCCCCBr","41 days"
"246","CCCCCCC(=O)OC(=O)CCCCCC","0.062 day"
"247","CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl","> 1 year"
"248","CCCCCCCBr","69 days"
"249","CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br","16 days"
"250","CCCCCCCC(=O)SCCC[Si](OCC)(OCC)OCC","1.9 days"
"251","CCCCCCCCC(C)C=O","52 days"
"252","CCCCCCCCCC(=O)OOC(=O)CCCCCCCCC","34 days"
"253","CCCCCCCCCC(C)C1OCC2COC(C(C)CCCCCCCCC)[NH+]21","4 days"
"254","CCCCCCCCCC=CCC1CC(=O)OC1=O","0.024 day"
"255","CCCCCCCCCCCC(=O)OCC(C)(C)C=NCC1(C)CC(N=CC(C)(C)COC(=O)CCCCCCCCCCC)CC(C)(C)C1","0.069 day"
"256","CCCCCCCCCCCC(=O)OCC(C)(C)C=NCCCCCCN=CC(C)(C)COC(=O)CCCCCCCCCCC","0.069 day"
"257","CCCCCCCCCCCC(=O)OCC(C)(C)C=NCCOCCO","0.069 day"
"258","CCCCCCCCCCCCC1CC(=O)[NH+](C2CC(C)(C)[NH+](C(C)=O)C(C)(C)C2)C1=O","> 1 year"
"259","CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(C(=O)OCC)cc1Cl","9.1 days"
"260","CCCCCCCCCCCC[S+](CC)C(C)CC#N","0.00052 day"
"261","CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC","> 1 year"
"262","CCCCCCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C","22 days"
"263","CCCCCCOC(=O)C=CC(=O)OCCCCCC","34 days"
"264","CCCCCl","13 days"
"265","CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21","0.063 day"
"266","CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1","78 days"
"267","CCCCOC(=O)C1CCCCC1C(=O)OCc1ccccc1","74 days"
"268","CCCCOC(=O)CC(SP(=S)(OCCC)OCCC)C(=O)OCCCC","0.6 day"
"269","CCCCOC(=O)CCCCC(=O)OCCCC","> 1 year"
"270","CCCCOC(=O)Cl","0.0038 day"
"271","CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1","69 days"
"272","CCCCOC(=O)c1ccccc1C(=O)OCCCC","> 1 year"
"273","CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC","> 1 year"
"274","CCCCOCCO[Si](OCCOCCCC)(OCCOCCCC)OCCOCCCC","0.18 day"
"275","CCCCO[Si](C)(C)OCCCC","0.058 day"
"276","CCCCSP(=O)(SCCCC)SCCCC","> 1 year"
"277","CCCC[NH+](CCCC)S[NH+](C)C(=O)Oc1cccc2c1OC(C)(C)C2","6.4 days"
"278","CCCC[NH2+]P(N)(N)=S","81 days"
"279","CCCOC(=O)C(C)=C[Si](C)(C)Cl","0.098 day"
"280","CCCOC(=O)Cl","0.012 day"
"281","CCCOC(=O)NCCC[NH+](C)C","> 1 year"
"282","CCCOC(=O)c1cc(O)c(O)c(O)c1","5.9 days"
"283","CCCO[Si](OCCC)(OCCC)OCCC","0.28 day"
"284","CCCSC(=O)Cl","2.6e-12 day"
"285","CCCSP(=O)(OCC)Oc1cnn(-c2ccc(Cl)cc2)c1","27 days"
"286","CCC[Si](Cl)(Cl)Cl","0.092 day"
"287","CCC[Si](OCC)(OCC)OCC","0.7 day"
"288","CCI","38 days"
"289","CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1","120 days"
"290","CCN(CCCl)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)c(C)c1","> 1 year"
"291","CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]","> 1 year"
"292","CCNC(=O)C(C)OC(=O)Nc1ccccc1","> 1 year"
"293","CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C","190 days"
"294","CCNc1nc(Cl)nc(NC(C)(C)C#N)n1","> 1 year"
"295","CCNc1nc(Cl)nc([NH2+]C(C)C)n1","> 1 year"
"296","CCOC(=O)C(F)(F)F","0.0024 day"
"297","CCOC(=O)C1=NOC(c2ccccc2)(c2ccccc2)C1","2.3 days"
"298","CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1","> 1 year"
"299","CCOC(=O)C1CC(=O)[N-]N1c1ncccc1Cl","49 days"
"300","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC","6.3 days"
"301","CCOC(=O)CC[NH+](S[NH+](C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C","16 days"
"302","CCOC(=O)CO","79 days"
"303","CCOC(=O)COC","58 days"
"304","CCOC(=O)Cl","0.018 day"
"305","CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1","> 1 year"
"306","CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1","0.55 day"
"307","CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)NC12CCC(OC)CC2","7.5 days"
"308","CCOC(=O)[NH+](C)C","> 1 year"
"309","CCOC(=O)[NH+](C)N=O","1 days"
"310","CCOC(=O)c1ccc([NH+]=CN(C)c2ccccc2)cc1","0.5 day"
"311","CCOC(=O)c1ccccc1","> 1 year"
"312","CCOC(=O)c1ccccc1C(=O)OCC","> 1 year"
"313","CCOC(=O)c1cnn(C)c1S(=O)(=O)[N-]C(=O)Nc1nc(OC)cc(OC)n1","37 days"
"314","CCOC(=O)c1nn(-c2ccc(OC)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O","260 days"
"315","CCOC(=O)c1nn(-c2ccc(OC)cc2)c2c1CCN(c1ccc([N+](=O)[O-])cc1)C2=O","240 days"
"316","CCOC(C)=O","> 1 year"
"317","CCOC(C)OC1CCCCCCCCCCC1","5.9 days"
"318","CCOC(C)OCCc1ccccc1","55 days"
"319","CCOC(N)=O","> 1 year"
"320","CCOCC1CCCO1","> 1 year"
"321","CCON=C(CC)C1=C([O-])CC(c2c(C)cc(C)cc2C)CC1=O","110 days"
"322","CCOP(=O)(C[NH+](CCO)CCO)OCC","26 days"
"323","CCOP(=O)(O)C(N)=O","> 1 year"
"324","CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl","86 days"
"325","CCOP(=O)(OCC)OCC","> 1 year"
"326","CCOP(=O)(OCC)OP(=O)(OCC)OCC","0.31 day"
"327","CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC","0.31 day"
"328","CCOP(=O)([NH2+]C(C)C)Oc1ccc(SC)c(C)c1","300 days"
"329","CCOP(=S)(CC)Sc1ccccc1","> 1 year"
"330","CCOP(=S)(OCC)OC(Cl)C(Cl)(Cl)Cl","58 days"
"331","CCOP(=S)(OCC)OCC","> 1 year"
"332","CCOP(=S)(OCC)Oc1cnccn1","29 days"
"333","CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1","51 days"
"334","CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1","45 days"
"335","CCOP(=S)(OCC)SCC","> 1 year"
